index,question,category,correct_answer,predicted_answer,raw_response,reasoning_length,is_correct
10,"Alla fine del '46 si erano delineati in seno al Psiup due schieramenti contrapposti, uno con a capo Nenni, l'altro guidato da Saragat che:",history,C,C,"Il Psiup (Partito Socialista Italiano di Unità Proletaria) era diviso tra chi, come Nenni, voleva mantenere i legami con il PCI, e chi, come Saragat, spingeva per un distacco dal PCI e un avvicinamento alla socialdemocrazia.

FINALE: C",235,True
11,Chi successe a Vittorio Emanuele III?,history,A,A,"Vittorio Emanuele III abdicò nel 1946, e il suo successore fu il figlio Umberto II, che regnò per pochissimo tempo prima della proclamazione della Repubblica Italiana.

FINALE: A",178,True
12,"""Remunerativo"" significa:",lexicon,C,C,"Il termine ""remunerativo"" si riferisce a qualcosa che offre un compenso o un guadagno, quindi l'opzione corretta è C.

FINALE: C",128,True
13,"Individuare quanti errori ortografici sono presenti nella frase: ""Per operare un ernia iatale si deve procedere alla sotura del fondo gastrico intorno all'esofago"".",morphology,B,B,"La frase contiene due errori: ""ernia"" (corretto: ""ernia"" è corretto, ma ""iatale"" dovrebbe essere ""iatale"" è corretto, ma ""sotura"" dovrebbe essere ""sutura"" e ""gastrico"" è corretto). Aspetta, no: ""sotura"" è l'unico errore visibile (manca la ""u""). Ma aspetta, ""ernia iatale"" è corretto, ""sotura"" è sbagliato (""sutura""), e ""fondo gastrico"" è corretto. Quindi solo uno errore?

Aspetta, ""sotura"" è l'unico errore? No, anche ""operare un ernia"" dovrebbe essere ""operare un'ernia"" (apostrofo mancante). Quindi due errori: apostrofo e ""sotura"".

FINALE: B",546,True
14,"Nella frase ""Il mio gatto è molto simpatico, ama avventurasi nell'armadio e giocare con i maglioni di lana di mio padre"", ""nell'armadio"" è:",syntax,B,B,"""Nell'armadio"" è un gruppo di parole che inizia con una preposizione (""in"") e completa il significato del verbo ""avventurarsi"". Non è un soggetto, un oggetto diretto o un attributo, ma un complemento che specifica il luogo dell'azione.

FINALE: B",246,True
15,"Tenendo presente le regole per l'uso degli accenti,si leggano le quattro frasi proposte e si individui quella che contiene un errore ortografico:",morphology,B,B,"La frase con errore ortografico è la B, perché ""li"" (senza accento) è un pronome, mentre ""lì"" (con accento) indica un luogo. Qui dovrebbe essere ""lì"" per indicare il posto in cui si è rimasti.

FINALE: B",203,True
16,Nella distribuzione geografica dei rilievi appenninici il monte Bove fa parte:,geography,D,D,"Il Monte Bove si trova in Umbria, precisamente nel Parco Nazionale dei Monti Sibillini. I Monti Sibillini sono un gruppo montuoso dell'Appennino umbro-marchigiano, noto per il Monte Vettore e il Monte Bove.

FINALE: D",217,True
17,"Completare con una congiunzione subordinante la frase ""Verrò a teatro ... tu vada a comperare i biglietti"".",orthography,A,A,"La frase richiede una congiunzione che indichi una condizione necessaria per il verificarsi dell'azione principale (""verrò a teatro""). ""Purché"" introduce una condizione necessaria (""verrò a teatro purché tu vada a comperare i biglietti""), mentre le altre opzioni non adattano il senso logico della frase.

FINALE: A",315,True
18,"Chi fondò la rivista ""Hermes"" (1903/1906)?",literature,C,D,"La rivista ""Hermes"" (1903/1906) fu fondata da **Dell'Aversana**, un nome legato al mondo editoriale e letterario dell'epoca.

FINALE: D",135,False
19,Quale ruolo svolse la città di Pozzuoli per i Romani?,tourism,B,B,"Pozzuoli era un importante porto romano, strategico per il commercio e le spedizioni verso l'Oriente. La sua posizione favoriva anche la raccolta del grano dall'Egitto. Quindi, la risposta corretta è B.

FINALE: B",213,True
20,Quale dei seguenti aggettivi contiene un errore ortografico?,orthography,C,C,"L'aggettivo ""veltebrato"" (opzione C) contiene un errore ortografico. La forma corretta è ""vertebrato"".

FINALE: C",113,True
21,Lo standard della formazione minima indica che la guida turistica deve possedere una professionalità:,tourism,C,C,"La professionalità di una guida turistica richiede una conoscenza approfondita del patrimonio artistico-storico e culturale (settoriale), ma anche competenze trasversali per gestire i gruppi (multidisciplinare). La risposta A è troppo limitata, la B è sbagliata perché non include il patrimonio, la C è corretta.

FINALE: C",323,True
22,Quale Presidente del consiglio italiano fu artefice della sigla di un nuovo Concordato con la Chiesa Cattolica nel 1984?,history,C,C,"Il Concordato del 1984 fu firmato durante il governo di Bettino Craxi, che era Presidente del Consiglio in quel periodo. La sua figura è associata a riforme chiave degli anni '80.

FINALE: C",190,True
23,"Quale tra le seguenti alternative NON completa correttamente la seguente frase? ""L'incedere … conferiva allo zio un'aria rassicurante. Era evidentemente una persona molto ..."".",lexicon,D,D,"""Incedere"" significa camminare con un certo stile o ritmo. ""Flemmatico"", ""solenne"" e ""lento"" sono aggettivi che descrivono un'andatura calma e controllata, adatta a una persona rassicurante. ""Spedito"" invece indica fretta, che non si adatta al contesto.

FINALE: D",264,True
24,"Individuare tra i seguenti un sinonimo di ""conflagrazione"":",lexicon,D,D,"""Conflagrazione"" significa un grande incendio o un conflitto violento. Tra le opzioni, ""esplosione"" è il sinonimo più adatto, in quanto può riferirsi sia a un evento distruttivo improvviso (come un incendio) che a un conflitto esplosivo.

FINALE: D",248,True
25,Quale delle seguenti parole deve necessariamente essere scritta con l'iniziale maiuscola?,morphology,B,B,"Le parole che indicano nomi propri (come oceani o continenti) devono essere scritte con l'iniziale maiuscola. Tra le opzioni, ""Antartide"" è un continente, quindi va con la maiuscola.

FINALE: B",193,True
26,"Nel periodo ""Arrivato il sindaco, la cerimonia di inaugurazione del museo ebbe inizio"" la proposizione ""Arrivato il sindaco"" è:",syntax,A,A,"La proposizione ""Arrivato il sindaco"" introduce un'azione che precede e condiziona l'inizio della cerimonia, ma non esprime un tempo specifico o una condizione ipotetica. È una proposizione participiale che funziona da circostanza temporale, anche se non in modo esplicito come una subordinata temporale classica.

FINALE: A",324,True
27,"Nella frase ""Invece di ringraziarmi, mi ha pure preso a parole, è questa la sua riconoscenza?"", ""Invece di ringraziarmi"" è una proposizione:",syntax,D,D,"La frase ""Invece di ringraziarmi"" introduce un'azione che si contrappone a quella attesa (ringraziare), ma non è una concessione o un fine. È un'azione alternativa o opposta, tipica delle proposizioni avversative.

FINALE: D",224,True
28,Sant'Anna Mettèrza del Masaccio rappresenta:,art_history,A,A,"Il dipinto *Sant'Anna Mettèrza* (o *Sant'Anna con la Vergine e il Bambino*) di Masaccio raffigura Sant'Anna, la madre della Vergine Maria, che tiene in braccio il Bambino Gesù, con Maria alle spalle. Non è un primo piano né una scena della Passione.

FINALE: A",260,True
29,"Può essere un contrario di ""confutato"":",lexicon,D,D,"""Confutato"" significa smentito o negato. Il suo contrario potrebbe essere ""ammesso"" (accettato come vero).

FINALE: D",117,True
30,"""Mia moglie, sempre senza soldi, mi chiese il mio portfolio per andare al duty free prima che il gate chiudesse. Pago cash, cinguettò"". Nel passaggio precedente, quali termini stranieri sono usati scorrettamente?",lexicon,B,D,"Il termine ""portfolio"" è corretto in italiano (portafoglio), ma ""cash"" e ""duty free"" sono anglicismi inutili in questo contesto. ""Cash"" può essere sostituito con ""contanti"", e ""duty free"" con ""shopping tax-free"".

FINALE: D",223,False
31,Gli exit poll sono un sistema di sondaggio elettorale:,current_events,C,C,"1. Gli exit poll sono condotti dopo il voto, non prima.
2. Non sono telefonici, ma intervistano elettori all'uscita dei seggi.
3. Non simulano la votazione, ma chiedono come hanno votato.

FINALE: C",198,True
32,"Ai sensi dell'art. 121 della Costituzione, il Consiglio regionale esercita:",civic_education,A,A,"L'art. 121 della Costituzione italiana stabilisce che il Consiglio regionale eserciti le potestà legislative e le altre funzioni conferite dalla Costituzione e dalle leggi. Le potestà esecutive sono invece attribuite alla Giunta regionale (art. 120), mentre quelle contabili sono gestite da organi specifici come il Collegio dei revisori dei conti.

FINALE: A",359,True
33,Il Futurismo si riallaccia a :,literature,C,C,"Il Futurismo si opponeva alle tradizioni letterarie passate, in particolare al Decadentismo e al Simbolismo, e si ispirava invece all'avanguardia e alla modernità. D'Annunzio, pur essendo un autore influente, non è direttamente legato al Futurismo.

FINALE: C",259,True
34,"A norma dell'art. 86 della Costituzione, in caso di morte del Presidente della Repubblica, il Presidente della Camera dei deputati indice le elezioni del nuovo Presidente della Repubblica entro:",civic_education,A,B,"L'art. 86 della Costituzione stabilisce che il Presidente della Camera dei deputati deve indire le elezioni per il nuovo Presidente della Repubblica entro 30 giorni dalla morte del precedente, salvo proroghe in casi specifici (Camere sciolte o prossime alla cessazione).

FINALE: B",281,False
35,"L'uso dell'apostrofo è fondamentale per una corretta grafia della frase; in relazione a questo, si leggano le seguenti quattro proposizioni e si segnali quale contiene un errore ortografico:",morphology,C,D,"L'apostrofo è usato per contrarre parole o per indicare elisione. Analizzando le opzioni:

- A) ""M'è"" è corretto (contrazione di ""mi è"").
- B) ""All'improvviso"" è corretto (elisione di ""a + il"").
- C) ""c'entrare"" è corretto (contrazione di ""ci + entrare"").
- D) ""c'entro"" è corretto (contrazione di ""ci + entro), ma ""coi"" è errato: dovrebbe essere ""con i"" (senza apostrofo).

FINALE: D",384,False
36,I membri esperti del Consiglio nazionale dell'economia e del lavoro (CNEL) sono nominati…,civic_education,B,B,"Il CNEL è un organo consultivo che rappresenta le forze sociali e il mondo del lavoro. La sua composizione include rappresentanti delle associazioni imprenditoriali, sindacali e agricole, oltre a esperti. La nomina dei membri esperti avviene per metà da parte del Capo dello Stato e per l'altra metà dal Governo.

FINALE: B",323,True
37,"Nella frase: ""D'estate è bello passeggiare in riva al mare"", ""d'estate"" è un complemento di:",literature,C,C,"""D'estate"" indica quando accade l'azione (passeggiare), quindi è un complemento che specifica il tempo in cui si verifica l'azione.

FINALE: C",142,True
38,"Trovare in quale parte della frase è stato commessoun errore: ""Gli ambientalisti criticano l'allevamento di animali al solo scopo di fabbricare pelliccie"".",orthography,D,D,"La parola ""pelliccie"" è errata; la forma corretta è ""pellicce"" (senza la doppia ""c"").

FINALE: D",96,True
39,L'ordine ionico si caratterizza per:,art_history,B,B,"L'ordine ionico è noto per le sue colonne snelle e decorative, con capitelli più elaborati e proporzioni più eleganti rispetto al dorico, che è più massiccio e semplice.

FINALE: B",180,True
40,"La terza persona plurale del passato remoto attivo di ""agire"" è:",orthography,D,D,"Il verbo ""agire"" è un verbo irregolare nel passato remoto. La terza persona plurale del passato remoto attivo è formata con il prefisso ""a-"" e il suffisso ""-rono"", quindi ""agirono"".

FINALE: D",192,True
41,Per quale motivo &amp;egrave; celebre Tarquinia?,geography,C,C,"Tarquinia è famosa per i suoi resti archeologici, in particolare la necropoli etrusca, che è molto ben conservata e ricca di affreschi. Non è nota per il clima, l'industria o il porto.

FINALE: C",195,True
42,La casa di produzione cinematografica fondata dal regista Nanni Moretti è:,current_events,A,A,"Nanni Moretti è noto per aver fondato una casa di produzione indipendente. La sua società è famosa per film come ""Palombella rossa"" e ""La stanza del figlio"". Ricordo che il nome della sua casa di produzione inizia con ""S"".

FINALE: A",233,True
43,"L'ode ""Marzo 1821"" fu scritta in occasione di un'insurrezione contro gli austriaci, chi ne è l'autore?",literature,D,A,"L'ode ""Marzo 1821"" è legata all'insurrezione contro gli austriaci, un tema tipico del Risorgimento. Tra i poeti citati, Ugo Foscolo (B) è noto per il suo impegno patriottico e la sua opera ""Dei Sepolcri"", ma non è l'autore di quest'ode. Gabriele D'Annunzio (C) è più tardo e non si adatta al contesto. Alessandro Manzoni (D) è autore de ""I promessi sposi"", ma non di odi politiche. Carlo Porta (A) è un poeta milanese che ha trattato temi di insurrezione, come ""La nason di Milan"".

FINALE: A",492,False
44,"Nel periodo ""per preparare gli spaghetti alla carbonara, sono necessari le uova e la pancetta"", oltre alla principale è presente una proposizione...",orthography,A,A,"La frase ""per preparare gli spaghetti alla carbonara"" esprime il fine dell'azione, quindi è una subordinata finale.

FINALE: A",126,True
45,A norma dell'art. 77 della Costituzione possono le Camere regolare con legge i rapporti giuridici sorti sulla base dei decreti non convertiti?,civic_education,C,C,"L'art. 77 della Costituzione stabilisce che i decreti-legge devono essere convertiti in legge entro 60 giorni. Se non lo sono, perdono efficacia retroattivamente. Tuttavia, le Camere possono regolare i rapporti giuridici sorti in base a questi decreti non convertiti, come previsto dall'art. 77 stesso (""salvo che lo stabiliscano diversamente in sede di conversione"").

FINALE: C",379,True
46,Tipo di bicchiere a forma di testa animale o di satiro:,art_history,C,C,"Il rhyton è un bicchiere antichità a forma di testa animale o di satiro.
L'askos è un otre, l'hydra è un mostro mitologico.
FINALE: C",133,True
47,"Si identifichi, fra le seguenti proposizioni, quella che NON contiene errori.",literature,B,B,"La frase corretta è ""Bisogna credere loro, poveri piccoli, altrimenti ci resteranno male"". Le altre opzioni presentano errori grammaticali o sintattici.

FINALE: B",163,True
48,"Una persona che non prende posizione su questioni religiose, sociali, o politiche si definisce:",lexicon,A,A,"- ""Agnostica"" significa chi dubita dell'esistenza di Dio, ma non necessariamente neutrale su questioni sociali/politiche.
- ""Asettica"" si riferisce a sterilità medica, non a neutralità.
- ""Atea"" è chi non crede in Dio, ma può avere posizioni forti su altri temi.
- ""Ascetica"" riguarda l'astinenza da piaceri materiali, non neutralità.

FINALE: A",345,True
49,L'articolo 34 della Costituzione recita testualmente che la scuola è aperta ai capaci e ai meritevoli. Tale affermazione è....,civic_education,A,A,"L'art. 34 della Costituzione italiana stabilisce che la scuola è aperta a tutti, non solo ai capaci e ai meritevoli. L'affermazione nel quesito è quindi errata.

FINALE: A",171,True
50,L'Italia entra ufficialmente in guerra il 23 maggio 1915 con...,history,A,A,"L'Italia era alleata con l'Austria-Ungheria prima della guerra, ma nel 1915 si schierò contro di essa per espandere i propri confini territoriali (Trentino, Trieste, Dalmazia). La dichiarazione di guerra fu rivolta all'Austria il 23 maggio 1915.

FINALE: A",256,True
51,Qual è il sinonimo di acre?,lexicon,B,B,"L'aggettivo ""acre"" può significare sia ""aspro"" (sapore o odore pungente) che ""odioso"" (carattere sgradevole). Tra le opzioni, ""aspro"" è il sinonimo più diretto e comune.

FINALE: B",180,True
52,Qual è il nome della residenza estiva del Papa?,current_events,B,B,"La residenza estiva del Papa è Castel Gandolfo, una località vicino Roma famosa per la sua villa papale.

FINALE: B",115,True
53,IL sinonimo di vano,synonyms_and_antonyms,A,A,"Il termine ""vano"" significa privo di significato o effetto, quindi il suo sinonimo è ""inutile"".

FINALE: A",106,True
54,"Gli accordi o decisioni tra imprese, vietati in virtù dell’art. 101 del TFUE:",civic_education,B,D,"L'art. 101 del TFUE vieta gli accordi tra imprese che limitano la concorrenza. Tali accordi sono considerati illegittimi e quindi non validi, ma non necessariamente nulli di pieno diritto (che richiederebbe un giudizio specifico). La risposta più corretta è che sono ""non validi"", poiché l'articolo li dichiara vietati e quindi privi di efficacia giuridica.

FINALE: D",368,False
55,"Un sinonimo di ""salmo"" è:",synonyms_and_antonyms,C,C,"""Salmo"" si riferisce a un canto religioso, quindi il sinonimo più adatto è ""cantico"", che significa proprio un canto sacro o spirituale.

FINALE: C",147,True
56,L’area di produzione del “Carciofo di Paestum” IGP è concentrata:,tourism,A,A,"Il Carciofo di Paestum IGP è noto per essere prodotto in un’area specifica della Campania. La Piana del Sele è una zona fertile e adatta alla coltivazione di questo ortaggio, mentre le altre opzioni (Costiera Amalfitana e Piana di Caiazzo) non sono direttamente associate a questa denominazione.

FINALE: A",306,True
57,Quale località italiana divenne nota nel corso del XX secolo per essere una meta del turismo montano?,history,D,D,"Madonna di Campiglio è una località montana famosa in Italia, frequentata da turisti per sci e vacanze in montagna. Le altre opzioni (Lodi, Termoli, Argenta) non sono note per il turismo montano. FINALE: D",205,True
58,Che cos' è il Consiglio comunale?,civic_education,C,C,"Il Consiglio comunale è l'organo elettivo che rappresenta la comunità locale e ha funzioni di indirizzo e controllo politico-amministrativo. Le altre opzioni descrivono ruoli diversi (gestione dei servizi, appelli, atti amministrativi).

FINALE: C",247,True
59,Il David di Donatello è il premio....,current_events,B,B,"Il David di Donatello è un premio cinematografico italiano, quindi le opzioni A e C (che si riferiscono a Venezia e Cannes) sono improbabili. La B menziona la sua istituzione nel 1955 e la collaborazione con l'AGIS, che è storicamente corretta. La D si riferisce a un altro evento.

FINALE: B",292,True
60,"Serra Dolcedorme, Pollino, Monte del Papa sono monti di quale tratto degli Appennini?",geography,C,C,"I monti Serra Dolcedorme, Pollino e Monte del Papa si trovano in Basilicata, che fa parte dell'Appennino Lucano.

FINALE: C",123,True
61,Lo storico Acquedotto Pugliese termina la sua lunga corsa a:,history,A,A,"L'Acquedotto Pugliese è il principale sistema idrico della Puglia e serve diverse città della regione. Santa Maria di Leuca è un punto estremo della Puglia, ideale per la fine di un acquedotto che distribuisce acqua in tutta la regione. Foggia e Altamura sono città centrali, non estreme.

FINALE: A",299,True
62,Si leggano le seguenti frasi: 1) La Banca nazionaledel lavoro ha sedi in tutt'italia. 2) Informai Giulio del mio ritardo. 3) Ho visitato il Quirinale. Quali o qualedi esse contengono un corretto uso della lettera maiuscola?,morphology,C,C,"1) ""La Banca nazionaledel lavoro"" ha un errore di maiuscola (dovrebbe essere ""nazionale del lavoro"" senza maiuscole).
2) ""Informai Giulio"" usa correttamente la maiuscola per il nome proprio.
3) ""Ho visitato il Quirinale"" usa correttamente la maiuscola per il nome del palazzo.

FINALE: C",287,True
63,"In riferimento alle regole per l'uso degli accentie dell'apostrofo, si leggano le quattro frasi proposte e si indichi quale contiene un errore ortografico:",morphology,A,A,"La frase A) ""Due compresse di analgesico al di"" è incompleta e manca del termine corretto (""al di là"", ""al di sotto"", ecc.), quindi contiene un errore ortografico.

FINALE: A",174,True
64,"In Italia, la fase presindacale fu rappresentata:",tourism,A,A,"La fase presindacale in Italia fu caratterizzata da organizzazioni di lavoratori che cercavano di difendersi economicamente prima della nascita dei sindacati. Le Società di Mutuo Soccorso erano associazioni che offrivano supporto economico ai lavoratori in caso di malattia o disoccupazione, quindi sono rilevanti per questo contesto.

FINALE: A",345,True
65,"Indicare quale delle seguenti parole, che contengono le lettere ""c"" e ""q"" e i digrammi ""cq"" e ""qq"", è scritta in modo errato.",morphology,C,C,"La parola ""aquerello"" (opzione C) contiene ""aq"" e ""ll"", ma non il digramma ""cq"" né ""qq"". Le altre opzioni contengono i digrammi richiesti (""acquitrino"" ha ""cq"", ""cuore"" ha ""qu"" e ""soqquadro"" ha ""qq""). Quindi, ""aquerello"" è l'unica parola che non soddisfa i criteri.

FINALE: C",276,True
66,È un sostantivo astratto derivato dal verbo ''contrarre''…,orthography,A,A,"Il verbo ""contrarre"" significa ridurre o stringere, e il sostantivo astratto derivato dovrebbe mantenere questa radice. Tra le opzioni:

- **Contrattilità** (A) è un termine tecnico che indica la capacità di contrarsi, ma non è un sostantivo astratto comune.
- **Contratto** (B) è un sostantivo concreto (accordo legale).
- **Contrattura** (C) è un sostantivo concreto (indolenzimento muscolare).
- **Contrattempo** (D) è un sostantivo concreto (ritardo).

La radice ""contratt-"" è presente in ""contrattilità"", ma è l'unica opzione astratta.

FINALE: A",551,True
67,Tra i prodotti tipici e famosi della Campania vi è:,tourism,B,B,"La Campania è famosa per il pomodoro San Marzano, un prodotto tipico e apprezzato in tutto il mondo. Il pomodorino di San Marzano è un tipo di pomodoro dolce e aromatico, spesso utilizzato in cucina. Le altre opzioni non sono note come prodotti tipici della Campania.

FINALE: B",278,True
68,"""Tronfio"" è un aggettivo che indica una persona:",lexicon,D,D,"""Tronfio"" evoca l'idea di gonfiore o pienezza, come un sacco pieno. Non si associa a dolore (A), vittoria (C) o fame (B). L'opzione D (""piena di sà"") è dialettale e significa ""sapone"", ma non è il significato corretto.

FINALE: D",229,True
69,"""Sempre"" è un ...",literature,C,C,"""Sempre"" indica un tempo continuo o frequenza, quindi è un avverbio (es. ""Lui è sempre puntuale"").

FINALE: C",109,True
70,"Il suffisso ""-logia"" indica…",orthography,D,D,"Il suffisso ""-logia"" deriva dal greco ""logos"", che significa studio o parola. È presente in parole come ""biologia"" (studio della vita) o ""teologia"" (studio di Dio). Quindi, il significato corretto è studio.

FINALE: D",217,True
71,Le controversie riguardanti il rapporto di lavoro dei dipendenti pubblici sono di norma devolute…,civic_education,C,B,"Le controversie di lavoro dei dipendenti pubblici riguardano il pubblico impiego, che è disciplinato da norme speciali. In Italia, queste controversie sono di competenza del giudice amministrativo, che si occupa di questioni legate all'amministrazione pubblica.

FINALE: B",272,False
72,"Quando si sopprime una sillaba o la vocale finale di una parola davanti ad un'altra si ha il troncamento; in riferimento a questa caratteristica della fonologia, si indichi quale delle seguenti forme è corretta:",morphology,C,D,"Il troncamento è l'elisione della vocale finale di una parola davanti ad un'altra. In italiano, il troncamento è regolare per ""qual"" (senza apostrofo) quando precede un verbo che inizia per vocale (es. ""qual è""). L'apostrofo è errato in questo contesto.

FINALE: C",264,False
73,La Garfagnana è un'area geografica appartenente a quale provincia? (Livello 2 n. 14),geography,B,B,"La Garfagnana è una zona montuosa della Toscana, famosa per i suoi paesaggi naturali e i borghi medievali. La sua posizione è nel nord-ovest della regione, vicino alla Lunigiana. La provincia di Lucca è quella che include questa area storica e geografica.

FINALE: B",266,True
74,"Oltre ad Alessandro Mantovani chi fu incaricato da Pio IX di eseguire la maggior parte dei ""restauri"" del Palazzo del Quirinale nonché la nuova decorazione della Sala delle Logge, del Corridoio presso la Sala dei Bussolanti e parte della Sala degli Ambasciatori?",art_history,A,B,"Il nome che mi viene in mente per i restauri del Quirinale è Francesco Coghetti, noto per il suo lavoro nel XIX secolo. Mantovani è un nome meno comune in questo contesto, ma Coghetti è associato a progetti di restauro e decorazione in quel periodo.

FINALE: B",260,False
75,Dati i seguenti gruppi: 1) Iena / Ione. 2) Elegia / Attore. 3) Iato / Ioide. Quale o quali contengono solo parole che richiedono l'articolo determinativo apostrofato?,morphology,A,D,"1) ""Iena"" richiede l'articolo determinativo apostrofato (""l'iena""), ma ""ione"" no (si usa ""lo ione"").
2) ""Elegia"" richiede l'articolo determinativo apostrofato (""l'elegia""), ma ""attore"" no (si usa ""l'attore"", ma senza apostrofo).
3) ""Iato"" richiede l'articolo determinativo apostrofato (""l'iato""), ma ""ioide"" no (si usa ""l'ioide"", ma in realtà ""ioide"" non richiede apostrofo, perché la pronuncia inizia con ""j"" e non con ""i"").

**FINALE: D**",440,False
76,"La soap opera italiana ""Un posto al sole"" è in realtàun format:",current_events,C,D,"""Un posto al sole"" è una soap opera italiana, ma il suo format originale è stato ispirato da serie internazionali. Il nome ""Un posto al sole"" ricorda lo stile delle soap opera tedesche, come ""Lindenstraße"", ma è un adattamento italiano. Tuttavia, il format originale è tedesco.

FINALE: D",288,False
77,I Bronzi di Riace vengono convenzionalmente indicati come:,art_history,A,A,"I Bronzi di Riace sono due statue bronzee greche del V secolo a.C., note per la loro straordinaria qualità artistica. La denominazione più comune e diffusa è ""Bronzo A"" e ""Bronzo B"", che si riferisce alla loro posizione originale o alle differenze stilistiche.

FINALE: A",271,True
78,PAOLO SAVOLDELLI HA VINTO IL GIRO D'ITALIA DEL:,current_events,C,C,"Paolo Savoldelli ha vinto il Giro d'Italia nel 2002 e nel 2005, ma non nel 2000 o 2001.
FINALE: C",97,True
79,"Tra le varie opzioni di risposta, quale riporta l’espressione giuridica indicante l’acquisizione della cittadinanza di un dato paese come conseguenza del fatto giuridico di essere nati sul suo territorio, indipendentemente dalla cittadinanza dei genitori?",current_events,A,A,"L'opzione che indica l'acquisizione della cittadinanza per nascita sul territorio di un paese è il concetto giuridico ""Ius Soli"".

FINALE: A",140,True
80,Individuare il termine sinonimo della parola fievolmente.,synonyms_and_antonyms,B,B,"La parola ""fievolmente"" significa con poca intensità o volume, quindi il suo sinonimo è ""sommessamente"", che indica un suono o un'azione delicata e quieta.

FINALE: B",166,True
81,Come si definisce il gruppo a cui sono iscritti Deputati e Senatori secondo il partito di appartenenza o le tendenze politiche?,civic_education,B,B,"Il gruppo a cui appartengono Deputati e Senatori in base al partito o alle tendenze politiche si chiama **Gruppo parlamentare**, che raggruppa i membri per affinità ideologica.

FINALE: B",187,True
82,Presenta un suffisso con valore collettivo il termine…,orthography,C,C,"Il suffisso ""-ame"" in ""fogliame"" ha valore collettivo (insieme di foglie). Le altre opzioni non presentano suffissi con questa funzione.

FINALE: C",147,True
83,Di quale regione fanno parte le Alpi Apuane?,geography,D,D,"Le Alpi Apuane sono note per il marmo di Carrara e si trovano in Toscana, vicino alla costa tirrenica.
FINALE: D",112,True
84,"I mosaici, nell'arte romana, venivano usati:",art_history,C,C,"I mosaici nell'arte romana erano principalmente usati per decorare pavimenti e pareti, spesso in alternativa alla pittura, specialmente in contesti lussuosi come ville e edifici pubblici.

FINALE: C",198,True
